기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2018,4,A,골목상권,1000329,삼양로24길,1607561,774842,832713,134156,257033,270591,292649,328106,325020,322577,315165,238793,235073,307279,188670,226224,223228,223227,222127,225544,236583,250637
2018,4,A,골목상권,1000330,삼양로27길,1864481,917870,946602,187638,301191,304397,344363,340500,386381,313263,324982,291288,298561,409879,226504,259492,258191,256570,252602,263719,278331,295576
2018,4,A,골목상권,1000331,삼양로41길,2469558,1233380,1236168,221166,423210,406333,440649,478818,499380,433809,419877,375117,391636,545400,303714,342461,339807,335658,332885,347621,372545,398580
2018,4,A,골목상권,1000332,삼양로54길,1400998,700153,700843,100485,267391,223111,237605,295901,276505,242559,229531,216361,229086,315766,167686,191390,191241,189762,187050,195297,215197,231064
2018,4,A,골목상권,1000333,삼양로77길,885512,448854,436662,49950,185456,147810,139267,180149,182894,186829,183624,136659,132128,151945,94352,125115,122906,121320,120191,123291,129452,143245
2018,4,A,골목상권,1000334,삼양로93길,1187821,583387,604436,56459,218769,212275,218861,240975,240480,267270,233224,168535,167183,213743,137870,164998,165112,164466,162497,164792,177610,188354
2018,4,A,골목상권,1000335,솔매로41길,1707499,843396,864101,103122,366570,280450,277684,354531,325141,261146,276959,291641,299187,386362,192200,236971,232472,232732,231099,239697,274260,260252
2018,4,A,골목상권,1000336,솔매로45길,1425213,681016,744193,84810,323805,221885,223115,298613,272974,181503,223739,264072,271653,330699,153545,200874,196264,197227,196289,203698,228294,202558
2018,4,A,골목상권,1000337,솔매로50길,2287267,1063745,1223518,164291,473029,405020,382965,463295,398661,337173,379245,403977,415519,517915,233428,318084,315333,318619,314269,326509,353987,340465
2018,4,A,골목상권,1000338,솔샘로65길,1517742,696679,821054,92475,272480,278779,256617,332786,284591,255636,273126,256110,261207,321803,149841,210430,212142,213250,210538,215861,221885,233644
2018,4,A,골목상권,1000339,수유로12길,2261559,1146794,1114769,76540,579789,378439,352922,437896,435976,405149,399469,361555,371296,466400,257704,314774,310186,311721,306751,323085,340072,354968
2018,4,A,골목상권,1000340,오패산로30길,1303244,619954,683290,118353,303083,223079,224544,217915,216281,229758,226520,187785,193441,288412,177320,186075,181295,180210,180134,189612,192020,193904
2018,4,A,골목상권,1000341,오패산로52길,1093873,537652,556224,75385,213109,194722,180301,213729,216637,239737,222496,153460,152916,196844,128426,154212,150800,150689,148266,152939,164796,172183
2018,4,A,골목상권,1000342,오패산로67길,3506540,1771108,1735432,161905,1152560,617040,529027,573239,472779,611319,494094,509007,557837,827783,506506,475593,470480,468881,464329,517203,562066,547997
2018,4,A,골목상권,1000343,인수봉로56길,1009523,504954,504567,41658,202027,174937,181606,199498,209795,218115,202895,146756,143419,180552,117796,139579,140584,139027,136244,139554,150925,163617
2018,4,A,골목상권,1000344,인수봉로72길,1095059,524228,570831,71808,198476,186895,202003,214024,221840,241665,216754,159205,154971,196201,126259,153993,152735,152038,150844,153958,162758,168733
2018,4,A,골목상권,1000345,인수봉로79길,453704,210847,242860,28472,80160,69326,86922,89769,99054,88022,91177,76747,69508,82180,46067,63084,63363,62065,61275,63274,68105,72542
2018,4,A,골목상권,1000346,한천로109길,733273,361073,372199,50849,114258,120115,137442,144488,166144,125445,139192,113597,116940,153670,84438,103994,101087,99384,96453,103790,111183,117399
2018,4,A,골목상권,1000347,한천로124나길,1895748,948006,947740,81422,487526,343894,323679,362580,296652,349468,327526,265755,280802,409963,262249,267679,264367,266277,259476,272818,283777,281357
2018,4,A,골목상권,1000348,한천로130길,1662761,844825,817931,74233,381705,305850,289543,336490,274946,324605,297905,224793,239436,347211,228818,233621,231519,232752,227299,237435,251928,248206
2018,4,A,골목상권,1000349,한천로132길,2975307,1473869,1501437,145983,869560,537688,478270,519950,423868,528355,430034,403522,458573,709939,444881,417934,414882,414124,406759,434711,460844,426051
2018,4,A,골목상권,1000350,한천로139가길,3028761,1517837,1510927,169269,1031353,533691,452463,459567,382421,535243,352133,384455,450548,784888,521493,416293,414546,409070,403832,447660,490583,446777
2018,4,A,골목상권,1000351,한천로140길,1994530,1009413,985118,76509,523998,359511,338264,382541,313717,365089,293888,271808,302024,468675,293035,280111,279447,278340,272091,290199,309135,285214
2018,4,A,골목상권,1000352,노해로60길,2434670,1150630,1284045,171213,518177,451468,414069,458221,421504,381895,428426,396703,400600,534954,292084,345595,340231,338872,339158,351973,357897,360954
2018,4,A,골목상권,1000353,노해로63다길,479599,237710,241885,32942,103285,87561,85744,90705,79361,81140,75254,72534,74884,112080,63701,65867,65192,65770,65833,69866,74336,72736
2018,4,A,골목상권,1000354,덕릉로60길,706392,347313,359074,27337,111284,125782,145297,154609,142085,131466,137576,106568,104342,139024,87421,97103,95381,93971,96842,97161,106938,119000
2018,4,A,골목상권,1000355,도당로13가길,1167647,621166,546485,39608,212197,187689,211842,267662,248657,231127,194008,168589,184669,247113,142150,162741,159708,157502,154781,162257,185020,185648
